token,symbol,name,exch_seg,clean_symbol
10005,DSPQ50INAV-EQ,DSPQ50INAV,NSE,DSPQ50INAV
10050,ICICI1INAV-EQ,ICICI1INAV,NSE,ICICI1INAV
10099,GODREJCP-EQ,GODREJCP,NSE,GODREJCP
10127,MOM50INAV-EQ,MOM50INAV,NSE,MOM50INAV
10238,CONFIPET-EQ,CONFIPET,NSE,CONFIPET
10457,ARVSMART-EQ,ARVSMART,NSE,ARVSMART
10508,MOHEALTH-EQ,MOHEALTH,NSE,MOHEALTH
10585,MOM30IETF-EQ,MOM30IETF,NSE,MOM30IETF
10618,SADBHIN-EQ,SADBHIN,NSE,SADBHIN
10633,HDFCNIF100-EQ,HDFCNIF100,NSE,HDFCNIF100
10693,MOMENTUM-EQ,MOMENTUM,NSE,MOMENTUM
10761,SILVERADD-EQ,SILVERADD,NSE,SILVERADD
10990,RADICO-EQ,RADICO,NSE,RADICO
1100,GARFIBRES-EQ,GARFIBRES,NSE,GARFIBRES
11162,HARSHA-EQ,HARSHA,NSE,HARSHA
11165,COFFEEDAY-EQ,COFFEEDAY,NSE,COFFEEDAY
11223,UCOBANK-EQ,UCOBANK,NSE,UCOBANK
10019,EBBE32INAV-EQ,EBBE32INAV,NSE,EBBE32INAV
10110,MAM150INAV-EQ,MAM150INAV,NSE,MAM150INAV
10130,MON100INAV-EQ,MON100INAV,NSE,MON100INAV
10217,ADANIENSOL-EQ,ADANIENSOL,NSE,ADANIENSOL
10285,AYMSYNTEX-EQ,AYMSYNTEX,NSE,AYMSYNTEX
10300,RAMASTEEL-EQ,RAMASTEEL,NSE,RAMASTEEL
10321,PKTEA-EQ,PKTEA,NSE,PKTEA
1041,FINPIPE-EQ,FINPIPE,NSE,FINPIPE
10415,MUTHOOTCAP-EQ,MUTHOOTCAP,NSE,MUTHOOTCAP
1053,UFLEX-EQ,UFLEX,NSE,UFLEX
10530,SHARDAMOTR-EQ,SHARDAMOTR,NSE,SHARDAMOTR
10584,HDFC50INAV-EQ,HDFC50INAV,NSE,HDFC50INAV
10604,BHARTIARTL-EQ,BHARTIARTL,NSE,BHARTIARTL
10726,INDIAMART-EQ,INDIAMART,NSE,INDIAMART
10738,OFSS-EQ,OFSS,NSE,OFSS
10871,GRMOVER-EQ,GRMOVER,NSE,GRMOVER
10939,JUNIORBEES-EQ,JUNIORBEES,NSE,JUNIORBEES
10945,TMB-EQ,TMB,NSE,TMB
11027,INFOBEAN-EQ,INFOBEAN,NSE,INFOBEAN
11140,SUMIT-EQ,SUMIT,NSE,SUMIT
11275,TVTODAY-EQ,TVTODAY,NSE,TVTODAY
11287,UPL-EQ,UPL,NSE,UPL
11265,TVSELECT-EQ,TVSELECT,NSE,TVSELECT
1139,GICHSGFIN-EQ,GICHSGFIN,NSE,GICHSGFIN
10012,EBBE23INAV-EQ,EBBE23INAV,NSE,EBBE23INAV
10017,EBBE31INAV-EQ,EBBE31INAV,NSE,EBBE31INAV
10021,BBETF0INAV-EQ,BBETF0INAV,NSE,BBETF0INAV
10098,LICN50INAV-EQ,LICN50INAV,NSE,LICN50INAV
10117,MANXT5INAV-EQ,MANXT5INAV,NSE,MANXT5INAV
10122,MOM100INAV-EQ,MOM100INAV,NSE,MOM100INAV
10161,SETF50INAV-EQ,SETF50INAV,NSE,SETF50INAV
10188,SHYAMCENT-EQ,SHYAMCENT,NSE,SHYAMCENT
10297,PPL-EQ,PPL,NSE,PPL
104,SHAREINDIA-EQ,SHAREINDIA,NSE,SHAREINDIA
10350,CSLFINANCE-EQ,CSLFINANCE,NSE,CSLFINANCE
10485,RAMRAT-EQ,RAMRAT,NSE,RAMRAT
10576,NIFTYBEES-EQ,NIFTYBEES,NSE,NIFTYBEES
10700,SURANAT&P-EQ,SURANAT&P,NSE,SURANAT&P
10925,GODREJIND-EQ,GODREJIND,NSE,GODREJIND
10932,RADAAN-EQ,RADAAN,NSE,RADAAN
10940,DIVISLAB-EQ,DIVISLAB,NSE,DIVISLAB
10948,STCINDIA-EQ,STCINDIA,NSE,STCINDIA
11184,IDFCFIRSTB-EQ,IDFCFIRSTB,NSE,IDFCFIRSTB
11239,NSIL-EQ,NSIL,NSE,NSIL
11241,HDFCGROWTH-EQ,HDFCGROWTH,NSE,HDFCGROWTH
11394,ZOTA-EQ,ZOTA,NSE,ZOTA
10016,EBBE30INAV-EQ,EBBE30INAV,NSE,EBBE30INAV
1008,FACT-EQ,FACT,NSE,FACT
10128,MONQ50INAV-EQ,MONQ50INAV,NSE,MONQ50INAV
10159,ORICONENT-EQ,ORICONENT,NSE,ORICONENT
1030,AARON-EQ,AARON,NSE,AARON
10397,JISLJALEQS-EQ,JISLJALEQS,NSE,JISLJALEQS
10406,STEELCITY-EQ,STEELCITY,NSE,STEELCITY
10512,CONS-EQ,CONS,NSE,CONS
10579,MARKSANS-EQ,MARKSANS,NSE,MARKSANS
10634,ASAL-EQ,ASAL,NSE,ASAL
10661,PONNIERODE-EQ,PONNIERODE,NSE,PONNIERODE
10753,UNIONBANK-EQ,UNIONBANK,NSE,UNIONBANK
10791,NUCLEUS-EQ,NUCLEUS,NSE,NUCLEUS
10859,DREAMFOLKS-EQ,DREAMFOLKS,NSE,DREAMFOLKS
1110,DANGEE-EQ,DANGEE,NSE,DANGEE
11195,INDIGO-EQ,INDIGO,NSE,INDIGO
11255,HDFCQUAL-EQ,HDFCQUAL,NSE,HDFCQUAL
11260,HDFCVALUE-EQ,HDFCVALUE,NSE,HDFCVALUE
11262,IGL-EQ,IGL,NSE,IGL
11309,BALAXI-EQ,BALAXI,NSE,BALAXI
11325,MUKANDLTD-EQ,MUKANDLTD,NSE,MUKANDLTD
11364,VAIBHAVGBL-EQ,VAIBHAVGBL,NSE,VAIBHAVGBL
11445,PILANIINVS-EQ,PILANIINVS,NSE,PILANIINVS
11343,AFFLE-EQ,AFFLE,NSE,AFFLE
11319,LICNETFN50-EQ,LICNETFN50,NSE,LICNETFN50
11457,NV20-EQ,NV20,NSE,NV20
1145,GIPCL-EQ,GIPCL,NSE,GIPCL
11452,CCL-EQ,CCL,NSE,CCL
11582,TRACXN-EQ,TRACXN,NSE,TRACXN
11647,KOTARISUG-EQ,KOTARISUG,NSE,KOTARISUG
11864,PRIMESECU-EQ,PRIMESECU,NSE,PRIMESECU
11915,YESBANK-EQ,YESBANK,NSE,YESBANK
11956,MEDANTA-EQ,MEDANTA,NSE,MEDANTA
11979,HTMEDIA-EQ,HTMEDIA,NSE,HTMEDIA
